status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
4.0,1.02,4.0,1.0,2.09,4.0,5.0,3.0,3.0,1.0,4.0,4.0,1.16,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0
4.0,1.2,4.0,2.0,2.13,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.25,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
2.0,1.41,2.0,6.0,2.17,1.0,3.0,4.0,3.0,1.0,4.0,4.0,1.32,3.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0
4.0,1.08,4.0,0.0,2.07,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.24,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0
1.0,1.17,2.0,0.0,2.14,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.24,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0
4.0,1.08,4.0,3.0,1.95,4.0,3.0,4.0,3.0,1.0,3.0,1.0,1.35,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0
2.0,1.11,0.0,1.0,2.17,2.0,5.0,3.0,4.0,1.0,4.0,3.0,1.24,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0
1.0,0.94,2.0,0.0,1.97,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.29,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
4.0,0.94,2.0,2.0,2.01,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.17,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
4.0,1.02,2.0,1.0,1.97,5.0,5.0,4.0,3.0,1.0,4.0,4.0,1.34,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0
4.0,0.94,2.0,3.0,1.9,1.0,5.0,4.0,3.0,1.0,4.0,3.0,1.3,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0
4.0,0.67,2.0,2.0,2.13,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.25,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0
4.0,1.28,2.0,3.0,2.11,5.0,5.0,2.0,2.0,1.0,4.0,1.0,1.34,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,1.28,4.0,6.0,2.2,1.0,3.0,3.0,2.0,1.0,2.0,4.0,1.18,3.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0
4.0,1.17,4.0,3.0,2.05,5.0,5.0,4.0,3.0,1.0,4.0,2.0,1.38,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0
4.0,1.41,2.0,3.0,2.22,2.0,4.0,2.0,2.0,1.0,4.0,1.0,1.13,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0
2.0,1.23,2.0,3.0,2.01,5.0,3.0,4.0,2.0,1.0,1.0,3.0,1.19,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0
4.0,1.17,4.0,3.0,2.02,1.0,4.0,4.0,4.0,3.0,2.0,3.0,1.26,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0
4.0,1.02,2.0,6.0,2.13,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.31,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0
1.0,0.94,1.0,3.0,1.86,1.0,3.0,4.0,2.0,1.0,4.0,1.0,1.17,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
4.0,1.17,2.0,3.0,1.97,2.0,4.0,4.0,4.0,1.0,3.0,2.0,1.19,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0
2.0,1.23,2.0,0.0,2.04,1.0,3.0,4.0,2.0,3.0,2.0,4.0,1.17,1.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0
1.0,1.23,2.0,2.0,2.17,5.0,5.0,4.0,3.0,1.0,4.0,2.0,1.24,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0
