status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,1.17,2,3,2.03,1,5,4,2,1,4,3,1.11,3,2,1,3,2,2,2,1
4,1.08,2,3,2.03,1,2,4,3,1,1,1,1.26,3,2,1,3,2,1,2,1
4,1.08,0,9,2.12,1,3,2,3,1,2,3,1.28,2,2,2,3,1,1,2,0
4,0.67,3,3,1.92,1,3,3,2,1,2,1,1.17,3,2,1,3,2,1,2,1
1,0.94,1,3,2.04,1,3,4,1,1,1,4,1.22,3,3,1,3,2,1,2,0
2,1.17,0,9,2.12,1,3,1,3,1,4,1,1.28,3,2,3,2,2,2,2,0
4,1.02,2,2,2.07,1,2,2,3,1,3,2,1.2,1,2,2,2,2,1,2,1
2,1.23,4,0,2.15,1,1,4,4,1,2,3,1.21,3,2,2,4,2,1,2,0
2,1.08,3,5,2.17,1,3,2,3,1,4,1,1.34,3,2,1,2,1,2,2,1
4,0.94,4,6,2.07,1,5,2,2,1,4,4,1.4,1,3,3,2,2,1,2,1
4,1.36,4,3,2.1,5,5,4,3,1,1,1,1.35,3,2,1,3,2,2,2,1
4,1.08,4,3,2.16,1,5,3,3,1,4,3,1.26,3,2,2,3,2,2,2,1
1,1.17,1,10,1.98,5,5,4,3,1,3,3,1.31,2,2,1,4,2,2,2,0
4,1.13,2,1,2.06,5,5,4,3,1,4,1,1.35,3,2,1,4,2,2,2,1
1,1.17,2,2,2.05,2,1,1,1,1,1,2,1.26,3,2,1,3,2,1,2,0
2,0.94,2,3,1.95,1,4,4,3,3,3,1,1.22,3,2,2,3,2,1,2,1
1,1.31,4,6,2.16,1,3,4,3,1,3,4,1.2,1,2,1,3,2,2,2,0
1,0.94,2,3,1.88,1,3,4,4,1,2,1,1.31,3,2,1,2,2,1,2,1
1,1.0,2,0,2.21,1,5,1,1,1,4,2,1.34,3,2,1,4,2,2,1,0
1,1.08,2,0,2.13,2,3,3,3,1,4,3,1.28,3,2,1,2,1,2,2,1
2,1.23,4,0,2.04,5,5,4,3,1,4,1,1.28,3,2,2,3,2,1,2,1
1,1.17,2,3,2.05,1,5,4,3,1,4,1,1.43,1,1,1,2,2,1,2,1
3,1.02,2,3,2.05,1,2,2,2,1,3,1,1.18,3,2,1,2,2,1,2,0
1,1.36,2,1,2.14,1,4,4,3,1,3,2,1.19,3,2,1,3,1,1,2,1
4,1.02,2,3,1.98,5,3,4,4,1,2,1,1.31,3,1,1,3,2,2,2,1
2,1.08,2,6,1.96,5,3,4,3,1,4,4,1.42,3,3,1,3,2,1,2,1
4,0.83,2,3,2.07,1,3,1,3,1,2,1,1.25,3,2,1,3,1,1,2,1
2,0.94,2,3,1.95,1,3,4,2,3,4,1,1.36,3,2,2,3,2,2,2,1
4,0.94,4,6,2.03,5,4,4,2,1,2,3,1.42,3,2,1,3,2,1,2,1
4,1.02,4,1,2.09,4,5,3,3,1,4,4,1.16,3,1,2,3,2,2,2,1
1,1.17,3,0,2.14,1,3,3,3,1,4,4,1.38,3,3,2,3,1,1,2,0
2,0.94,2,8,1.89,5,5,4,3,1,4,2,1.3,3,2,2,3,2,1,2,1
1,0.67,2,0,1.87,1,2,3,3,1,4,1,1.32,3,2,1,2,1,2,2,1
1,1.17,2,3,2.03,1,3,2,3,1,4,1,1.13,3,1,1,2,1,1,2,0
4,1.13,3,2,2.0,2,4,4,3,1,3,1,1.27,3,2,2,4,2,1,2,1
4,1.02,4,0,2.14,5,5,1,2,1,4,3,1.41,3,2,1,3,2,2,2,1
2,0.97,4,3,1.91,1,2,4,3,3,4,1,1.16,3,2,2,3,2,1,2,1
2,1.02,2,3,1.98,5,2,4,3,1,1,2,1.16,3,2,1,3,2,1,2,1
4,0.94,4,9,1.98,1,3,4,2,3,2,1,1.22,3,2,2,4,2,2,2,1
2,1.17,2,1,2.07,5,5,4,3,1,4,4,1.28,1,3,1,3,2,2,2,1
2,1.08,2,1,2.25,1,1,3,2,1,4,4,1.3,3,3,1,4,2,2,2,0
2,0.83,2,6,1.96,1,4,4,2,1,4,2,1.44,3,2,2,4,2,2,2,1
1,1.26,4,2,2.12,3,3,1,2,1,4,3,1.16,3,2,2,3,2,1,2,0
2,0.94,2,2,2.02,1,3,4,3,1,2,2,1.29,3,2,1,2,2,1,2,0
4,0.94,3,1,1.99,1,3,4,4,1,4,1,1.32,3,1,1,3,2,1,2,1
1,1.32,3,3,2.13,1,4,3,3,1,2,2,1.19,1,2,2,3,1,2,2,0
4,0.67,2,8,1.96,5,1,4,3,1,4,2,1.28,3,2,1,4,1,2,2,1
1,0.94,2,3,2.01,3,5,3,4,1,1,1,1.28,3,2,1,3,2,1,2,1
